depths	GICC05_kaBP	d18ONGRIP2
NA	5.35	-35.15
NA	5.37	-34.9
NA	5.39	-35.08
NA	5.41	-35.175
NA	5.43	-34.87
NA	5.45	-34.94
NA	5.47	-34.725
NA	5.49	-34.58
NA	5.51	-34.86
NA	5.53	-34.69
NA	5.55	-34.5
NA	5.57	-34.615
NA	5.59	-34.53
NA	5.61	-34.29
NA	5.63	-34.64
NA	5.65	-34.92
NA	5.67	-34.985
NA	5.69	-34.535
NA	5.71	-34.54
NA	5.73	-35.19
NA	5.75	-34.845
NA	5.77	-34.88
NA	5.79	-34.97
NA	5.81	-34.7
NA	5.83	-34.63
NA	5.85	-34.525
NA	5.87	-34.605
NA	5.89	-34.865
NA	5.91	-34.865
NA	5.93	-34.33
NA	5.95	-34.075
NA	5.97	-34.405
NA	5.99	-34.76
NA	6.01	-34.82
NA	6.03	-34.79
NA	6.05	-34.94
NA	6.07	-34.9
NA	6.09	-34.775
NA	6.11	-35.135
NA	6.13	-34.88
NA	6.15	-34.72
NA	6.17	-34.94
NA	6.19	-34.55
NA	6.21	-34.405
NA	6.23	-34.655
NA	6.25	-34.89
NA	6.27	-34.735
NA	6.29	-34.59
NA	6.31	-34.865
NA	6.33	-34.755
NA	6.35	-34.79
NA	6.37	-34.875
NA	6.39	-34.575
NA	6.41	-34.73
NA	6.43	-34.925
NA	6.45	-34.61
NA	6.47	-34.425
NA	6.49	-34.345
NA	6.51	-34.52
NA	6.53	-34.645
NA	6.55	-34.41
NA	6.57	-34.515
NA	6.59	-34.77
NA	6.61	-34.99
NA	6.63	-34.975
NA	6.65	-34.715
NA	6.67	-34.41
NA	6.69	-34.49
NA	6.71	-34.59
NA	6.73	-34.655
NA	6.75	-34.555
NA	6.77	-34.43
NA	6.79	-34.505
NA	6.81	-34.55
NA	6.83	-34.85
NA	6.85	-34.905
NA	6.87	-34.505
NA	6.89	-34.34
NA	6.91	-34.54
NA	6.93	-34.64
NA	6.95	-34.765
NA	6.97	-34.645
NA	6.99	-34.29
NA	7.01	-34.685
NA	7.03	-34.92
NA	7.05	-34.6
NA	7.07	-34.645
NA	7.09	-34.86
NA	7.11	-34.835
NA	7.13	-34.585
NA	7.15	-34.675
NA	7.17	-34.96
NA	7.19	-34.665
NA	7.21	-34.82
NA	7.23	-35.01
NA	7.25	-34.71
NA	7.27	-34.805
NA	7.29	-34.9
NA	7.31	-34.495
NA	7.33	-34.48
NA	7.35	-34.915
NA	7.37	-34.86
NA	7.39	-34.685
NA	7.41	-34.69
NA	7.43	-34.525
NA	7.45	-34.43
NA	7.47	-34.585
NA	7.49	-34.56
NA	7.51	-34.47
NA	7.53	-34.16
NA	7.55	-34.325
NA	7.57	-34.775
NA	7.59	-34.91
NA	7.61	-34.69
NA	7.63	-34.43
NA	7.65	-34.3
NA	7.67	-34.045
NA	7.69	-34.445
NA	7.71	-34.39
NA	7.73	-33.955
NA	7.75	-34.33
NA	7.77	-34.455
NA	7.79	-34.175
NA	7.81	-34.42
NA	7.83	-34.55
NA	7.85	-34.24
NA	7.87	-33.945
NA	7.89	-34.055
NA	7.91	-34.375
NA	7.93	-34.51
NA	7.95	-34.8
NA	7.97	-34.745
NA	7.99	-34.645
NA	8.01	-34.805
NA	8.03	-34.215
NA	8.05	-33.82
NA	8.07	-34.22
NA	8.09	-34.415
NA	8.11	-34.74
NA	8.13	-34.78
NA	8.15	-34.505
NA	8.17	-34.23
NA	8.19	-34.7
NA	8.21	-35.56
NA	8.23	-35.61
NA	8.25	-35.8
NA	8.27	-35.97
NA	8.29	-35.955
NA	8.31	-35.62
NA	8.33	-35.445
NA	8.35	-35.09
NA	8.37	-34.6
NA	8.39	-34.785
NA	8.41	-34.91
NA	8.43	-34.68
NA	8.45	-34.885
NA	8.47	-35.075
NA	8.49	-34.625
NA	8.51	-34.765
NA	8.53	-34.885
NA	8.55	-34.565
NA	8.57	-34.63
NA	8.59	-34.91
NA	8.61	-34.79
NA	8.63	-34.47
NA	8.65	-34.59
NA	8.67	-34.505
NA	8.69	-34.6
NA	8.71	-35.24
NA	8.73	-35.335
NA	8.75	-34.61
NA	8.77	-34.465
NA	8.79	-34.705
NA	8.81	-34.915
NA	8.83	-34.775
NA	8.85	-34.89
NA	8.87	-35.395
NA	8.89	-34.65
NA	8.91	-34.615
NA	8.93	-34.86
NA	8.95	-34.37
NA	8.97	-34.235
NA	8.99	-34.505
NA	9.01	-34.64
NA	9.03	-34.52
NA	9.05	-34.575
NA	9.07	-35.125
NA	9.09	-35.375
NA	9.11	-35.05
NA	9.13	-34.825
NA	9.15	-34.67
NA	9.17	-34.795
NA	9.19	-34.725
NA	9.21	-34.405
NA	9.23	-34.52
NA	9.25	-34.765
NA	9.27	-34.875
NA	9.29	-35.27
NA	9.31	-35.64
NA	9.33	-35.855
NA	9.35	-35.62
NA	9.37	-35.115
NA	9.39	-34.975
NA	9.41	-34.735
NA	9.43	-34.715
NA	9.45	-34.835
NA	9.47	-34.815
NA	9.49	-34.975
NA	9.51	-35.12
NA	9.53	-35.02
NA	9.55	-34.79
NA	9.57	-34.835
NA	9.59	-34.24
NA	9.61	-34.63
NA	9.63	-35.02
NA	9.65	-34.785
NA	9.67	-34.815
NA	9.69	-35.23
NA	9.71	-34.94
NA	9.73	-34.275
NA	9.75	-34.335
NA	9.77	-34.685
NA	9.79	-34.58
NA	9.81	-34.475
NA	9.83	-34.49
NA	9.85	-34.605
NA	9.87	-35.07
NA	9.89	-35.295
NA	9.91	-34.88
NA	9.93	-34.8
NA	9.95	-35.16
NA	9.97	-35.055
NA	9.99	-35.155
NA	10.01	-35.055
NA	10.03	-34.875
NA	10.05	-35.02
NA	10.07	-35.025
NA	10.09	-35.45
NA	10.11	-35.5
NA	10.13	-35.265
NA	10.15	-35.305
NA	10.17	-35.37
NA	10.19	-35.22
NA	10.21	-35.005
NA	10.23	-34.955
NA	10.25	-35.41
NA	10.27	-35.735
NA	10.29	-35.935
NA	10.31	-36.36
NA	10.33	-36.2
NA	10.35	-36.01
NA	10.37	-35.605
NA	10.39	-35.66
NA	10.41	-36.155
NA	10.43	-36.275
NA	10.45	-36.16
NA	10.47	-36.04
NA	10.49	-36.08
NA	10.51	-35.785
NA	10.53	-35.935
NA	10.55	-35.905
NA	10.57	-35.6
NA	10.59	-35.795
NA	10.61	-35.93
NA	10.63	-35.94
NA	10.65	-35.995
NA	10.67	-36.12
NA	10.69	-36.145
NA	10.71	-35.825
NA	10.73	-35.63
NA	10.75	-35.91
NA	10.77	-36.25
NA	10.79	-36.165
NA	10.81	-36.045
NA	10.83	-36.525
NA	10.85	-36.335
NA	10.87	-36.21
NA	10.89	-36.34
NA	10.91	-36.66
NA	10.93	-37.415
NA	10.95	-37.425
NA	10.97	-37.2
NA	10.99	-37.07
NA	11.01	-37.505
NA	11.03	-37.275
NA	11.05	-36.79
NA	11.07	-36.745
NA	11.09	-36.545
NA	11.11	-36.77
NA	11.13	-36.995
NA	11.15	-36.905
NA	11.17	-36.57
NA	11.19	-36.785
NA	11.21	-36.88
NA	11.23	-36.93
NA	11.25	-37.315
NA	11.27	-37.495
NA	11.29	-37.09
NA	11.31	-36.365
NA	11.33	-36.37
NA	11.35	-37.065
NA	11.37	-37.105
NA	11.39	-36.79
NA	11.41	-37.18
NA	11.43	-37.54
NA	11.45	-37.375
NA	11.47	-37.795
NA	11.49	-38.36
NA	11.51	-38.485
NA	11.53	-38.07
NA	11.55	-37.63
NA	11.57	-37.37
NA	11.59	-36.745
NA	11.61	-36.735
NA	11.63	-36.83
NA	11.65	-36.595
NA	11.67	-36.49
NA	11.69	-36.63
NA	11.71	-37.595
NA	11.73	-38.765
NA	11.75	-39.315
NA	11.77	-39.655
NA	11.79	-40.285
NA	11.81	-40.705
NA	11.83	-40.205
NA	11.85	-40.16
NA	11.87	-40.71
NA	11.89	-40.065
NA	11.91	-39.05
NA	11.93	-40.225
NA	11.95	-40.625
NA	11.97	-40.83
NA	11.99	-41.13
NA	12.01	-40.935
NA	12.03	-41.035
NA	12.05	-40.065
NA	12.07	-39.895
NA	12.09	-39.75
NA	12.11	-40.04
NA	12.13	-40.75
NA	12.15	-41.31
NA	12.17	-41.245
NA	12.19	-41.175
NA	12.21	-41.92
NA	12.23	-40.5
NA	12.25	-40.155
NA	12.27	-41.16
NA	12.29	-40.385
NA	12.31	-40.305
NA	12.33	-40.87
NA	12.35	-40.71
NA	12.37	-40.695
NA	12.39	-41.335
NA	12.41	-41.455
NA	12.43	-40.955
NA	12.45	-40.96
NA	12.47	-41.11
NA	12.49	-41.22
NA	12.51	-40.705
NA	12.53	-40.955
NA	12.55	-41.27
NA	12.57	-39.855
NA	12.59	-40.035
NA	12.61	-40.76
NA	12.63	-40.995
NA	12.65	-42.08
NA	12.67	-41.65
NA	12.69	-41.2
NA	12.71	-41.37
NA	12.73	-41.595
NA	12.75	-42.04
NA	12.77	-41.885
NA	12.79	-41.495
NA	12.81	-40.45
NA	12.83	-40.015
NA	12.85	-40.265
NA	12.87	-40.12
NA	12.89	-39.43
NA	12.91	-39.395
NA	12.93	-39.96
NA	12.95	-39.765
NA	12.97	-38.595
NA	12.99	-38.015
NA	13.01	-38.69
NA	13.03	-39.04
NA	13.05	-39.415
NA	13.07	-39.715
NA	13.09	-39.525
NA	13.11	-40.005
NA	13.13	-40.145
NA	13.15	-40.175
NA	13.17	-40.365
NA	13.19	-40.835
NA	13.21	-40.8
NA	13.23	-40.305
NA	13.25	-40.315
NA	13.27	-40.34
NA	13.29	-40.02
NA	13.31	-39.38
NA	13.33	-39.135
NA	13.35	-38.995
NA	13.37	-39.18
NA	13.39	-39.21
NA	13.41	-38.815
NA	13.43	-38.455
NA	13.45	-38.555
NA	13.47	-38.445
NA	13.49	-38.355
NA	13.51	-38.685
NA	13.53	-38.565
NA	13.55	-38.035
NA	13.57	-37.91
NA	13.59	-38.185
NA	13.61	-38.64
NA	13.63	-39.175
NA	13.65	-39.495
NA	13.67	-39.835
NA	13.69	-39.62
NA	13.71	-39.145
NA	13.73	-38.88
NA	13.75	-38.8
NA	13.77	-38.295
NA	13.79	-38.055
NA	13.81	-38.93
NA	13.83	-39.11
NA	13.85	-38.33
NA	13.87	-38.46
NA	13.89	-38.515
NA	13.91	-37.98
NA	13.93	-38.22
NA	13.95	-38.33
NA	13.97	-38.415
NA	13.99	-38.31
NA	14.01	-38.995
NA	14.03	-39.51
NA	14.05	-39.385
NA	14.07	-39.97
NA	14.09	-40.055
NA	14.11	-40.425
NA	14.13	-39.5
NA	14.15	-38.195
NA	14.17	-38.175
NA	14.19	-38.345
NA	14.21	-38.355
NA	14.23	-37.81
NA	14.25	-37.525
NA	14.27	-37.945
NA	14.29	-38.095
NA	14.31	-37.475
NA	14.33	-37.165
NA	14.35	-37.095
NA	14.37	-37.295
NA	14.39	-37.175
NA	14.41	-37.155
NA	14.43	-36.785
NA	14.45	-36.62
NA	14.47	-37.23
NA	14.49	-37.165
NA	14.51	-36.95
NA	14.53	-36.565
NA	14.55	-36.19
NA	14.57	-36.12
NA	14.59	-36.135
NA	14.61	-36.555
NA	14.63	-36.395
NA	14.65	-36.28
NA	14.67	-37.11
NA	14.69	-37.5
NA	14.71	-37.745
NA	14.73	-39.31
NA	14.75	-41.31
NA	14.77	-42.225
NA	14.79	-41.65
NA	14.81	-40.93
NA	14.83	-40.475
NA	14.85	-40.3
NA	14.87	-41.56
NA	14.89	-41.61
NA	14.91	-40.975
NA	14.93	-40.655
NA	14.95	-40.805
NA	14.97	-41.615
NA	14.99	-41.72
NA	15.01	-41.275
NA	15.03	-41.75
NA	15.05	-42.5
NA	15.07	-41.945
NA	15.09	-42.34
NA	15.11	-41.565
NA	15.13	-41.735
NA	15.15	-43.125
NA	15.17	-41.395
NA	15.19	-41.19
NA	15.21	-42.66
NA	15.23	-42.53
NA	15.25	-41.315
NA	15.27	-42.055
NA	15.29	-42.085
NA	15.31	-42.76
NA	15.33	-43.44
NA	15.35	-41.64
NA	15.37	-41.695
NA	15.39	-41.425
NA	15.41	-40.725
NA	15.43	-40.32
NA	15.45	-41.63
NA	15.47	-42.855
NA	15.49	-42.64
NA	15.51	-42.24
NA	15.53	-41.785
NA	15.55	-42.765
NA	15.57	-42.71
NA	15.59	-42.55
NA	15.61	-43.89
NA	15.63	-43.435
NA	15.65	-42.255
NA	15.67	-42.145
NA	15.69	-42.155
NA	15.71	-41.305
NA	15.73	-41.97
NA	15.75	-43.29
NA	15.77	-43.835
NA	15.79	-43.71
NA	15.81	-43.385
NA	15.83	-43.925
NA	15.85	-42.035
NA	15.87	-40.945
